sourceName,sourceVersion,device,creationDate,startDate,endDate,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit
"Ziad’s Apple Watch","4.1",,2018-02-12 23:33:57 +0200,2018-02-12 22:49:37 +0200,2018-02-12 23:33:57 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",44.33856973250707,"min",0,"km",619.0199999999925,"kcal"
"Ziad’s Apple Watch","4.1",,2018-02-16 23:02:44 +0200,2018-02-16 22:01:29 +0200,2018-02-16 23:02:44 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",61.2509167333444,"min",0,"km",714.356000000004,"kcal"
"Ziad’s Apple Watch","4.1",,2018-02-17 21:03:49 +0200,2018-02-17 20:14:58 +0200,2018-02-17 21:03:49 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",48.84122675061226,"min",0,"km",621.1420000000033,"kcal"
"Ziad’s Apple Watch","4.1",,2018-02-17 21:34:55 +0200,2018-02-17 21:20:06 +0200,2018-02-17 21:34:55 +0200,"HKWorkoutActivityTypeTraditionalStrengthTraining",14.81294418374697,"min",0,"km",66.3859999999999,"kcal"
"Ziad’s Apple Watch","4.1",,2018-02-19 22:45:44 +0200,2018-02-19 21:59:09 +0200,2018-02-19 22:45:44 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",46.58783140182495,"min",0,"km",604.9839999999983,"kcal"
"Ziad’s Apple Watch","4.1",,2018-02-23 09:47:30 +0200,2018-02-23 09:42:40 +0200,2018-02-23 09:47:30 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",4.835073598225912,"min",0,"km",17.45399999999999,"kcal"
"Ziad’s Apple Watch","4.1",,2018-02-28 18:36:26 +0200,2018-02-28 16:11:05 +0200,2018-02-28 18:36:26 +0200,"HKWorkoutActivityTypeWalking",145.3423840324084,"min",6.883980238696561,"km",609.7579999999972,"kcal"
"Ziad’s Apple Watch","4.1",,2018-03-02 21:47:36 +0200,2018-03-02 16:42:05 +0200,2018-03-02 21:47:36 +0200,"HKWorkoutActivityTypeWalking",246.5530469675859,"min",10.58053598606284,"km",670.2589999999876,"kcal"
"Ziad’s Apple Watch","4.1",,2018-03-09 22:56:11 +0200,2018-03-09 21:28:16 +0200,2018-03-09 22:56:10 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",87.91432148218155,"min",0,"km",1005.535999999992,"kcal"
"Ziad’s Apple Watch","4.1",,2018-03-12 23:21:43 +0200,2018-03-12 22:34:15 +0200,2018-03-12 23:21:43 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",47.45718198418617,"min",0,"km",600.6620000000012,"kcal"
